layer,waypoint,lat,lon,alt_m,speed_mps
L30.0m,row0_start,31.230130505414763,121.47317472427737,30.0,2.5
L30.0m,row0_end,31.230130505414763,121.47422527572262,30.0,2.5
L30.0m,row1_start,31.230310168471586,121.47422527572262,30.0,2.5
L30.0m,row1_end,31.230310168471586,121.47317472427737,30.0,2.5
L30.0m,row2_start,31.230489831528413,121.47317472427737,30.0,2.5
L30.0m,row2_end,31.230489831528413,121.47422527572262,30.0,2.5
L30.0m,row3_start,31.230669494585236,121.47422527572262,30.0,2.5
L30.0m,row3_end,31.230669494585236,121.47317472427737,30.0,2.5
L45.0m,row0_start,31.230130505414763,121.47317472427737,45.0,2.5
L45.0m,row0_end,31.230130505414763,121.47422527572262,45.0,2.5
L45.0m,row1_start,31.230310168471586,121.47422527572262,45.0,2.5
L45.0m,row1_end,31.230310168471586,121.47317472427737,45.0,2.5
L45.0m,row2_start,31.230489831528413,121.47317472427737,45.0,2.5
L45.0m,row2_end,31.230489831528413,121.47422527572262,45.0,2.5
L45.0m,row3_start,31.230669494585236,121.47422527572262,45.0,2.5
L45.0m,row3_end,31.230669494585236,121.47317472427737,45.0,2.5
